  i           filename[i]         MJD  year  mm  dd      i_flux   i_mag  mg8807ew  mg_8807_flux  fe8689ew  fe_8689_flux   K7700ew   K_7700_flux   K7326ew   K_7326_flux   K7016ew   K_7016_flux  Li6708ew  Li_6708_flux  bl6500ew  bl_6500_flux  ca6122ew  ca_6122_flux  un5660ew  un_5660_flux  un5270ew  un_5270_flux
 95         1266559i.fits  55548.3633  2010  12  18    4.008337  -1.507  0.042082    0.00195293  0.044717    0.00190165  0.056860    0.00181756  0.028889    0.00087224  0.025415    0.00074497  0.056069    0.00141256  0.131684    0.00361389  0.085418    0.00217453  0.087661    0.00196765  0.429748    0.00843201
 96         1266560i.fits  55548.3789  2010  12  18    4.334435  -1.592  0.042828    0.00215045  0.042683    0.00194710  0.055438    0.00191985  0.028923    0.00095310  0.024458    0.00078330  0.055594    0.00153829  0.132850    0.00399533  0.084800    0.00236159  0.085328    0.00210767  0.425270    0.00916362
 97         1266561i.fits  55548.3945  2010  12  18    4.767939  -1.696  0.041950    0.00229847  0.043724    0.00219940  0.056107    0.00214844  0.031070    0.00113826  0.023211    0.00081508  0.055401    0.00168253  0.135129    0.00448811  0.084722    0.00260794  0.081217    0.00220569  0.423642    0.01019800
 98         1266815i.fits  55549.3164  2010  12  19    1.244408  -0.237  0.040102    0.00052723  0.038677    0.00047920  0.033521    0.00036925  0.022613    0.00023882  0.022307    0.00024296  0.019373    0.00020555  0.107401    0.00124409  0.044083    0.00050493  0.069020    0.00079949  0.287235    0.00330731
 99         1266816i.fits  55549.3320  2010  12  19    2.758931  -1.102  0.038786    0.00123570  0.041800    0.00122025  0.050917    0.00114913  0.029162    0.00062301  0.024492    0.00051445  0.044018    0.00082786  0.122176    0.00250442  0.069549    0.00136347  0.078795    0.00141101  0.376157    0.00619680
100         1266817i.fits  55549.3477  2010  12  19    2.657987  -1.061  0.041517    0.00127046  0.040368    0.00113037  0.053194    0.00116052  0.028718    0.00059259  0.024866    0.00050265  0.044882    0.00081410  0.121806    0.00242428  0.072727    0.00136418  0.073190    0.00127416  0.374085    0.00603432
101         1266818i.fits  55549.3633  2010  12  19    2.752638  -1.099  0.040638    0.00128707  0.040959    0.00118422  0.051985    0.00117340  0.028438    0.00060091  0.025419    0.00052892  0.045270    0.00083800  0.119359    0.00240536  0.073098    0.00139312  0.083933    0.00146996  0.384249    0.00615509
102         1267382i.fits  55554.4102  2010  12  24    2.637123  -1.053  0.032576    0.00098589  0.036024    0.00101959  0.041803    0.00087693  0.023933    0.00047075  0.020001    0.00038243  0.042649    0.00073064  0.099830    0.00183948  0.063420    0.00108598  0.064406    0.00100500  0.283583    0.00386412
103         1267383i.fits  55554.4258  2010  12  24    2.736839  -1.093  0.033056    0.00104877  0.036113    0.00105534  0.043301    0.00095192  0.026224    0.00053530  0.019390    0.00037795  0.043454    0.00076813  0.099135    0.00187823  0.064484    0.00112253  0.072453    0.00114327  0.277159    0.00381195
104         1267384i.fits  55554.4453  2010  12  24    2.302404  -0.905  0.031896    0.00084623  0.036331    0.00089877  0.043170    0.00080159  0.025018    0.00043025  0.019687    0.00032471  0.044954    0.00067053  0.105022    0.00165940  0.067097    0.00097790  0.078450    0.00105408  0.294497    0.00338287
105         1267569i.fits  55555.3125  2010  12  25    4.031251  -1.514  0.033713    0.00153035  0.038714    0.00164772  0.045064    0.00147732  0.025388    0.00078026  0.018866    0.00055841  0.044661    0.00119399  0.106251    0.00308134  0.065974    0.00177717  0.066820    0.00164919  0.307680    0.00683296
106         1267570i.fits  55555.3281  2010  12  25    3.642834  -1.404  0.034118    0.00141375  0.037759    0.00144790  0.046055    0.00135025  0.025117    0.00068463  0.018476    0.00049186  0.045239    0.00109246  0.109546    0.00285408  0.067633    0.00164328  0.070400    0.00155779  0.309571    0.00609027
107         1267571i.fits  55555.3477  2010  12  25    4.096785  -1.531  0.035192    0.00162629  0.036423    0.00155373  0.045104    0.00149365  0.024700    0.00076329  0.020323    0.00061129  0.045239    0.00123303  0.108494    0.00318773  0.069664    0.00190683  0.068894    0.00171795  0.311193    0.00695821
108         1267572i.fits  55555.3633  2010  12  25    3.961728  -1.495  0.036173    0.00163173  0.037164    0.00153836  0.045765    0.00146381  0.024411    0.00072344  0.019311    0.00056044  0.045971    0.00121061  0.110552    0.00314610  0.069904    0.00185782  0.063898    0.00153397  0.316209    0.00689151
109         1268232i.fits  55560.3164  2010  12  30    0.533113   0.683  0.027351    0.00018182  0.028856    0.00017702  0.052821    0.00021609  0.019281    0.00007216  0.015900    0.00005468  0.033771    0.00009526  0.139137    0.00041991  0.065619    0.00015829  0.074691    0.00015000  0.327792    0.00056097
110         1268233i.fits  55560.3320  2010  12  30    0.454038   0.857  0.029790    0.00017419  0.033252    0.00017700  0.048404    0.00016832  0.021606    0.00006820  0.016975    0.00004962  0.032771    0.00007478  0.139234    0.00035207  0.073397    0.00015775  0.055100    0.00009620  0.187956    0.00025049
111         1268234i.fits  55560.3477  2010  12  30    0.330326   1.203  0.032121    0.00013198  0.031029    0.00011872  0.053671    0.00013161  0.019962    0.00004629  0.015354    0.00003015  0.025592    0.00004310  0.124124    0.00021525  0.062033    0.00008832  0.057196    0.00006955  0.235645    0.00023369
112         1268235i.fits  55560.3633  2010  12  30    0.359272   1.111  0.028379    0.00013248  0.033943    0.00014562  0.060332    0.00016572  0.020147    0.00005120  0.013027    0.00002837  0.027814    0.00005136  0.151856    0.00036254  0.085986    0.00014446  0.060133    0.00007164  0.394587    0.00041341
113         1597016i.fits  56255.4258  2012  11  24    0.053730   3.174  0.042642    0.00003026  0.042253    0.00002683  0.055416    0.00002240  0.029823    0.00001115  0.024553    0.00000774  0.051778    0.00001294  0.120876    0.00002959  0.075467    0.00001691  0.093183    0.00001675  0.368674    0.00005699
114         1597017i.fits  56255.4414  2012  11  24    0.083278   2.699  0.048049    0.00005498  0.043795    0.00004495  0.053055    0.00003279  0.029477    0.00001664  0.023183    0.00001105  0.049328    0.00002285  0.124939    0.00004402  0.082482    0.00002600  0.095845    0.00002347  0.371193    0.00007319
115         1597018i.fits  56255.4609  2012  11  24    0.141731   2.121  0.045301    0.00008840  0.045405    0.00008000  0.055773    0.00005784  0.032472    0.00003123  0.024625    0.00001970  0.053018    0.00003121  0.137536    0.00008045  0.083966    0.00004111  0.088761    0.00003380  0.441060    0.00012785
116         1597019i.fits  56255.4766  2012  11  24    0.167474   1.940  0.045432    0.00010497  0.043609    0.00009099  0.056010    0.00006811  0.032737    0.00003740  0.023562    0.00002219  0.051323    0.00003585  0.140847    0.00009729  0.084825    0.00005117  0.090495    0.00004025  0.429957    0.00014611
117         1597020i.fits  56255.4922  2012  11  24    0.164099   1.962  0.046727    0.00010559  0.044065    0.00008924  0.056142    0.00006776  0.031035    0.00003428  0.025713    0.00002407  0.054465    0.00003750  0.141345    0.00009731  0.088871    0.00005220  0.099043    0.00004355  0.427506    0.00014744
118         1597021i.fits  56255.5039  2012  11  24    0.170585   1.920  0.045862    0.00010735  0.045484    0.00009636  0.057954    0.00007370  0.031278    0.00003601  0.021696    0.00002093  0.054315    0.00003855  0.137934    0.00009679  0.091188    0.00005510  0.093686    0.00004209  0.419230    0.00014645
119         1597166i.fits  56256.4453  2012  11  25    0.129761   2.217  0.049016    0.00008368  0.047247    0.00007383  0.056694    0.00005514  0.028568    0.00002547  0.023917    0.00001891  0.048103    0.00002839  0.120117    0.00006984  0.077474    0.00003999  0.085937    0.00003416  0.402841    0.00012819
120         1597167i.fits  56256.4609  2012  11  25    0.088294   2.635  0.046416    0.00005313  0.041477    0.00004324  0.051858    0.00003509  0.032813    0.00002094  0.023033    0.00001267  0.041400    0.00001880  0.130105    0.00005616  0.074853    0.00002920  0.093944    0.00002906  0.407911    0.00010694
121         1597168i.fits  56256.4766  2012  11  25    0.157268   2.008  0.047636    0.00009964  0.049407    0.00009561  0.060609    0.00007157  0.030842    0.00003402  0.025749    0.00002431  0.051202    0.00003642  0.129795    0.00008829  0.086028    0.00005201  0.087478    0.00003961  0.437212    0.00016162
122         1597169i.fits  56256.4922  2012  11  25    0.121118   2.292  0.047642    0.00007646  0.046832    0.00006837  0.055031    0.00004916  0.029889    0.00002468  0.027392    0.00002004  0.051593    0.00002788  0.137395    0.00007397  0.080577    0.00003820  0.088191    0.00003209  0.407862    0.00012060
123         1597536i.fits  56257.5352  2012  11  26    0.162815   1.971  0.045522    0.00009612  0.049549    0.00010015  0.057271    0.00007131  0.028828    0.00003324  0.021595    0.00002135  0.046188    0.00003623  0.129470    0.00009978  0.071838    0.00004948  0.072648    0.00003857  0.396711    0.00018194
124         1597537i.fits  56257.5508  2012  11  26    0.067071   2.934  0.041866    0.00003383  0.043550    0.00003344  0.040967    0.00002227  0.022063    0.00001109  0.018922    0.00000859  0.028901    0.00001146  0.104328    0.00004012  0.047565    0.00001718  0.075906    0.00002422  0.333505    0.00009976
125         1597538i.fits  56257.5664  2012  11  26    0.022559   4.117  0.035238    0.00000775  0.043527    0.00001020  0.013723    0.00000285  0.015461    0.00000311  0.019418    0.00000381  0.006916    0.00000136  0.062294    0.00001187  0.004280    0.00000074  0.047380    0.00000814  0.162089    0.00002769
126         1597539i.fits  56257.5820  2012  11  26    0.017666   4.382  0.047754    0.00000799  0.036949    0.00000630  0.004775    0.00000079  0.019444    0.00000327  0.016184    0.00000269  0.001261    0.00000019  0.073511    0.00001120  0.023017    0.00000345  0.061273    0.00000965  0.247357    0.00003880
127         1597865i.fits  56258.4102  2012  11  27    0.181997   1.850  0.048450    0.00011146  0.044820    0.00009571  0.058302    0.00008349  0.026463    0.00003493  0.023195    0.00002705  0.040911    0.00003849  0.127785    0.00012790  0.067386    0.00005665  0.068932    0.00004728  0.368772    0.00022266
128         1597866i.fits  56258.4258  2012  11  27    0.164827   1.957  0.044519    0.00009208  0.043935    0.00008460  0.056831    0.00007364  0.027647    0.00003270  0.022819    0.00002392  0.040692    0.00003443  0.125949    0.00010706  0.065874    0.00004994  0.072247    0.00004501  0.374354    0.00020331
129         1597867i.fits  56258.4414  2012  11  27    0.217113   1.658  0.047160    0.00013108  0.045614    0.00011772  0.060710    0.00010310  0.027762    0.00004301  0.024490    0.00003308  0.046994    0.00005063  0.134733    0.00014286  0.070259    0.00006522  0.076476    0.00005552  0.394993    0.00024763
130         1597868i.fits  56258.4570  2012  11  27    0.161116   1.982  0.047505    0.00009428  0.043296    0.00008031  0.049921    0.00006585  0.025699    0.00003164  0.022958    0.00002552  0.032080    0.00002983  0.116751    0.00010842  0.058951    0.00005080  0.067803    0.00004918  0.341450    0.00022953
131         1598098i.fits  56259.4219  2012  11  28    0.220905   1.639  0.046437    0.00012774  0.044913    0.00011642  0.057559    0.00010003  0.027236    0.00004418  0.020698    0.00002990  0.039623    0.00004735  0.124380    0.00015035  0.064012    0.00006974  0.080558    0.00007438  0.361677    0.00030475
132         1598099i.fits  56259.4375  2012  11  28    0.226732   1.611  0.047835    0.00013831  0.045378    0.00012043  0.060051    0.00010438  0.027336    0.00004469  0.023762    0.00003428  0.042551    0.00004944  0.124616    0.00014387  0.067678    0.00006946  0.081205    0.00007018  0.362144    0.00028137
133         1598100i.fits  56259.4492  2012  11  28    0.227694   1.607  0.047710    0.00013943  0.045524    0.00012333  0.062978    0.00011102  0.029572    0.00004828  0.022261    0.00003174  0.046399    0.00005239  0.125724    0.00014437  0.076415    0.00007745  0.082403    0.00006756  0.376070    0.00026709
134         1598101i.fits  56259.4648  2012  11  28    0.226715   1.611  0.047382    0.00013696  0.048576    0.00013374  0.064102    0.00011356  0.028033    0.00004528  0.021186    0.00002966  0.046051    0.00005112  0.129013    0.00014382  0.076180    0.00007675  0.080472    0.00006663  0.381440    0.00027324
135         1598400i.fits  56260.2734  2012  11  29    0.135223   2.172  0.048684    0.00008307  0.046469    0.00007349  0.053188    0.00005696  0.029265    0.00002948  0.021353    0.00001840  0.035073    0.00002401  0.117614    0.00007948  0.056440    0.00003450  0.076553    0.00004230  0.338272    0.00017312
136         1598401i.fits  56260.2891  2012  11  29    0.148011   2.074  0.050546    0.00009425  0.043872    0.00007481  0.057132    0.00006689  0.026455    0.00002814  0.023402    0.00002161  0.037571    0.00002638  0.118400    0.00008247  0.060158    0.00003715  0.077054    0.00004122  0.355030    0.00018009
137         1598402i.fits  56260.3047  2012  11  29    0.162437   1.973  0.048815    0.00010196  0.047939    0.00009136  0.057112    0.00007285  0.026863    0.00003063  0.024313    0.00002387  0.040636    0.00003109  0.114002    0.00008533  0.066578    0.00004474  0.070826    0.00003986  0.362545    0.00018227
138         1598403i.fits  56260.3203  2012  11  29    0.172571   1.908  0.048776    0.00010768  0.043361    0.00008707  0.059265    0.00008013  0.028957    0.00003619  0.024798    0.00002586  0.043415    0.00003433  0.130511    0.00010235  0.067296    0.00004738  0.076779    0.00004467  0.362142    0.00018188
139         1598562i.fits  56261.3555  2012  11  30    0.142794   2.113  0.046090    0.00008643  0.043520    0.00007472  0.058703    0.00006731  0.028161    0.00002932  0.027101    0.00002387  0.044133    0.00003084  0.122872    0.00008237  0.069327    0.00004234  0.086859    0.00004229  0.365646    0.00015523
140         1598563i.fits  56261.3672  2012  11  30    0.165234   1.955  0.045591    0.00009712  0.044478    0.00008793  0.053889    0.00007030  0.028187    0.00003427  0.025775    0.00002698  0.040734    0.00003294  0.122596    0.00009645  0.066905    0.00004793  0.085421    0.00004951  0.371284    0.00018572
141         1598564i.fits  56261.3828  2012  11  30    0.103543   2.462  0.046173    0.00005314  0.034706    0.00003799  0.034259    0.00003164  0.020310    0.00001781  0.024631    0.00002051  0.012239    0.00000905  0.088885    0.00006471  0.036204    0.00002606  0.055044    0.00003788  0.291938    0.00018415
142         1598565i.fits  56261.3984  2012  11  30    0.054667   3.156  0.043523    0.00002260  0.024445    0.00001244  0.021374    0.00001159  0.015408    0.00000807  0.020243    0.00001004  0.003153    0.00000157  0.068468    0.00003277  0.023031    0.00001130  0.049297    0.00002357  0.259022    0.00012543
143         1598830i.fits  56262.4727  2012  12   1    0.136653   2.161  0.046947    0.00008623  0.044941    0.00007545  0.057960    0.00006054  0.027053    0.00002589  0.023571    0.00001864  0.048242    0.00002875  0.126736    0.00007371  0.077721    0.00003922  0.088878    0.00003524  0.413180    0.00013637
144         1598831i.fits  56262.4883  2012  12   1    0.154861   2.025  0.048778    0.00010110  0.045690    0.00008667  0.059482    0.00006880  0.030481    0.00003246  0.022989    0.00002031  0.048634    0.00003146  0.130511    0.00008426  0.080721    0.00004424  0.089125    0.00003757  0.396686    0.00013638
145         1598832i.fits  56262.5039  2012  12   1    0.149141   2.066  0.048409    0.00009928  0.043330    0.00007900  0.059175    0.00006633  0.029857    0.00003075  0.027064    0.00002340  0.049647    0.00003093  0.132482    0.00008199  0.077482    0.00004146  0.079216    0.00003201  0.376240    0.00012358
146         1598833i.fits  56262.5195  2012  12   1    0.033527   3.687  0.047799    0.00001514  0.034336    0.00001119  0.005968    0.00000187  0.015111    0.00000467  0.024770    0.00000750  0.002464    0.00000070  0.072007    0.00002045  0.020812    0.00000599  0.058714    0.00001616  0.265557    0.00007295
147         1599097i.fits  56263.4258  2012  12   2    0.107004   2.426  0.045427    0.00006586  0.043529    0.00005704  0.061547    0.00004972  0.031094    0.00002290  0.028836    0.00001766  0.050941    0.00002318  0.131254    0.00005860  0.080840    0.00003156  0.099903    0.00002968  0.424835    0.00010610
148         1599098i.fits  56263.4414  2012  12   2    0.126828   2.242  0.047860    0.00008371  0.047382    0.00007461  0.059396    0.00005534  0.034631    0.00003034  0.029254    0.00002105  0.050243    0.00002612  0.131730    0.00006681  0.082823    0.00003711  0.090279    0.00003004  0.413652    0.00011280
149         1599099i.fits  56263.4570  2012  12   2    0.137884   2.151  0.046213    0.00008802  0.043570    0.00007478  0.063416    0.00006567  0.032609    0.00003102  0.026716    0.00002087  0.048962    0.00002775  0.136841    0.00007842  0.081989    0.00003957  0.073759    0.00002666  0.403602    0.00011787
150         1599100i.fits  56263.4727  2012  12   2    0.075001   2.812  0.045800    0.00004565  0.045275    0.00004102  0.056827    0.00003273  0.029678    0.00001550  0.029423    0.00001315  0.042532    0.00001469  0.126710    0.00004326  0.070907    0.00002124  0.084936    0.00001987  0.372461    0.00007934
151         1599363i.fits  56265.4922  2012  12   4    0.203969   1.726  0.046307    0.00012844  0.047387    0.00012097  0.063253    0.00009802  0.032604    0.00004571  0.027361    0.00003177  0.054430    0.00004523  0.136926    0.00011604  0.085437    0.00005878  0.090133    0.00004600  0.424573    0.00016349
152         1599364i.fits  56265.5078  2012  12   4    0.185741   1.828  0.047189    0.00012027  0.045861    0.00010496  0.060547    0.00008370  0.032336    0.00004037  0.024170    0.00002467  0.051526    0.00003863  0.151792    0.00011262  0.088524    0.00005887  0.099234    0.00004507  0.432836    0.00015555
153         1599365i.fits  56265.5234  2012  12   4    0.177406   1.878  0.049413    0.00012011  0.044925    0.00009812  0.065022    0.00008748  0.031313    0.00003748  0.023959    0.00002377  0.053155    0.00003800  0.137696    0.00009554  0.084847    0.00004963  0.095778    0.00004302  0.447809    0.00015091
154         1599366i.fits  56265.5352  2012  12   4    0.169971   1.924  0.048397    0.00011266  0.046441    0.00009861  0.062940    0.00008102  0.032175    0.00003678  0.025323    0.00002391  0.052969    0.00003566  0.143509    0.00009630  0.086682    0.00004904  0.099378    0.00004173  0.457994    0.00014297
155         1600131i.fits  56268.3711  2012  12   7    0.191914   1.792  0.047933    0.00012442  0.045828    0.00010808  0.062728    0.00009117  0.033559    0.00004478  0.026537    0.00002886  0.053867    0.00004415  0.138595    0.00010941  0.088203    0.00005989  0.089901    0.00004514  0.445052    0.00017062
156         1600132i.fits  56268.3867  2012  12   7    0.203551   1.728  0.047772    0.00013115  0.045747    0.00011449  0.063273    0.00009888  0.033229    0.00004704  0.026184    0.00003011  0.056706    0.00004947  0.146205    0.00012383  0.088391    0.00006454  0.097803    0.00005237  0.459696    0.00018490
157         1600133i.fits  56268.4023  2012  12   7    0.144755   2.098  0.049228    0.00009718  0.047649    0.00008557  0.062558    0.00006968  0.032017    0.00003260  0.028129    0.00002316  0.055912    0.00003547  0.146782    0.00008907  0.086217    0.00004394  0.110850    0.00004292  0.482614    0.00013989
158         1600134i.fits  56268.4180  2012  12   7    0.170275   1.922  0.047103    0.00010943  0.048731    0.00010395  0.064395    0.00008416  0.032529    0.00003788  0.026949    0.00002585  0.056437    0.00004065  0.137965    0.00009523  0.088645    0.00005222  0.083573    0.00003548  0.469214    0.00015491
159         1600410i.fits  56269.4414  2012  12   8    0.156555   2.013  0.047157    0.00010057  0.046257    0.00009000  0.064408    0.00007693  0.028725    0.00003099  0.028446    0.00002545  0.052123    0.00003347  0.143194    0.00009179  0.089932    0.00004926  0.094557    0.00003794  0.455563    0.00014196
160         1600411i.fits  56269.4570  2012  12   8    0.168566   1.933  0.048400    0.00011100  0.046599    0.00009668  0.063321    0.00008041  0.031765    0.00003716  0.025776    0.00002502  0.055351    0.00004280  0.139211    0.00009583  0.089148    0.00005242  0.093667    0.00004064  0.433342    0.00014156
161         1600412i.fits  56269.4727  2012  12   8    0.175985   1.886  0.048688    0.00011638  0.046332    0.00010055  0.062669    0.00008416  0.031733    0.00003842  0.025506    0.00002539  0.053751    0.00003936  0.135189    0.00009614  0.083470    0.00005038  0.091079    0.00004065  0.449035    0.00015464
162         1600413i.fits  56269.4883  2012  12   8    0.173761   1.900  0.045756    0.00010879  0.044879    0.00009622  0.061738    0.00008024  0.031997    0.00003828  0.026962    0.00002671  0.054883    0.00003974  0.142024    0.00009892  0.085428    0.00005086  0.099063    0.00004487  0.457278    0.00015547
163         1600690i.fits  56270.4180  2012  12   9    0.114696   2.351  0.046281    0.00007350  0.045500    0.00006522  0.060230    0.00005042  0.029594    0.00002265  0.023308    0.00001464  0.053124    0.00002412  0.145037    0.00006480  0.083969    0.00003213  0.083811    0.00002262  0.457288    0.00010212
164         1600691i.fits  56270.4297  2012  12   9    0.125482   2.254  0.049029    0.00008560  0.044065    0.00006822  0.061204    0.00005580  0.030368    0.00002545  0.024607    0.00001711  0.053931    0.00002663  0.141850    0.00007063  0.092892    0.00003827  0.105780    0.00003194  0.424312    0.00009969
165         1600692i.fits  56270.4453  2012  12   9    0.129925   2.216  0.048535    0.00008683  0.046132    0.00007456  0.064089    0.00006093  0.032568    0.00002815  0.022297    0.00001556  0.053140    0.00002701  0.140620    0.00007010  0.086912    0.00003693  0.094059    0.00002943  0.404170    0.00009720
166         1600693i.fits  56270.4609  2012  12   9    0.138533   2.146  0.047389    0.00009039  0.046215    0.00008008  0.061278    0.00006176  0.030427    0.00002779  0.017985    0.00001329  0.058035    0.00003163  0.138252    0.00007419  0.085917    0.00003909  0.097852    0.00003261  0.473072    0.00011960
167         1600913i.fits  56271.3516  2012  12  10    0.155526   2.020  0.046234    0.00009751  0.045083    0.00008609  0.061432    0.00006925  0.032699    0.00003392  0.021510    0.00001830  0.052999    0.00003215  0.140970    0.00008562  0.089145    0.00004575  0.091432    0.00003471  0.420062    0.00011855
168         1600914i.fits  56271.3672  2012  12  10    0.160370   1.987  0.046990    0.00010241  0.046305    0.00009161  0.059912    0.00006832  0.030573    0.00003287  0.020341    0.00001753  0.057635    0.00003705  0.147673    0.00009251  0.088687    0.00004628  0.099287    0.00003881  0.438309    0.00012984
169         1600915i.fits  56271.3828  2012  12  10    0.160766   1.985  0.045566    0.00010005  0.044519    0.00008777  0.060875    0.00007054  0.032964    0.00003582  0.021927    0.00001920  0.054369    0.00003440  0.136001    0.00008447  0.090017    0.00004761  0.096986    0.00003730  0.440291    0.00012967
170         1600916i.fits  56271.3945  2012  12  10    0.152936   2.039  0.045596    0.00009524  0.045267    0.00008556  0.063215    0.00007004  0.030513    0.00003089  0.021738    0.00001840  0.053120    0.00003129  0.140668    0.00008273  0.087064    0.00004293  0.105245    0.00003881  0.450486    0.00012485
171         1769715i.fits  57011.4023  2014  12  20    0.219183   1.648  0.039510    0.00011658  0.039103    0.00010634  0.052909    0.00008686  0.026470    0.00004004  0.019499    0.00002424  0.043524    0.00004219  0.100477    0.00009507  0.065760    0.00005037  0.055749    0.00003159  0.265232    0.00012047
172         1769716i.fits  57011.4141  2014  12  20    0.217481   1.656  0.036894    0.00010808  0.037309    0.00010074  0.055641    0.00009103  0.025823    0.00003841  0.016286    0.00002006  0.042986    0.00004031  0.106678    0.00009895  0.065310    0.00004951  0.066462    0.00003784  0.256046    0.00011631
173         1769717i.fits  57011.4297  2014  12  20    0.196353   1.767  0.038693    0.00010233  0.038898    0.00009465  0.051823    0.00007572  0.027324    0.00003689  0.019373    0.00002162  0.044364    0.00003869  0.104811    0.00008483  0.065859    0.00004430  0.066093    0.00003300  0.278720    0.00011050
174         1769718i.fits  57011.4414  2014  12  20    0.184289   1.836  0.038528    0.00009600  0.037854    0.00008671  0.054789    0.00007592  0.027283    0.00003423  0.021431    0.00002268  0.046063    0.00003711  0.099984    0.00007452  0.065547    0.00004069  0.072995    0.00003448  0.282702    0.00010607
175         1770078i.fits  57012.3750  2014  12  21    0.191077   1.797  0.039199    0.00010107  0.038167    0.00008931  0.052583    0.00007565  0.028509    0.00003742  0.017974    0.00001938  0.046918    0.00003944  0.106500    0.00008376  0.068764    0.00004516  0.071304    0.00003555  0.282633    0.00010827
176         1770079i.fits  57012.3867  2014  12  21    0.190985   1.798  0.038423    0.00009798  0.038952    0.00009163  0.054362    0.00007939  0.026431    0.00003414  0.020836    0.00002246  0.042643    0.00003524  0.107654    0.00008301  0.068810    0.00004466  0.077240    0.00003847  0.274518    0.00010850
177         1770080i.fits  57012.4023  2014  12  21    0.168801   1.932  0.038689    0.00008723  0.037772    0.00007872  0.052301    0.00006629  0.025048    0.00002835  0.021487    0.00002043  0.043736    0.00003219  0.115914    0.00008316  0.068654    0.00004050  0.079357    0.00003455  0.246925    0.00008437
178         1770081i.fits  57012.4141  2014  12  21    0.169132   1.929  0.036719    0.00008359  0.035946    0.00007519  0.052167    0.00006620  0.024139    0.00002746  0.017013    0.00001615  0.042525    0.00003170  0.112645    0.00007904  0.066015    0.00003791  0.070744    0.00003061  0.291788    0.00009822
179         1770264i.fits  57013.4141  2014  12  22    0.065263   2.963  0.027066    0.00002316  0.028729    0.00002216  0.032505    0.00001613  0.023765    0.00001121  0.011759    0.00000460  0.030199    0.00000957  0.093165    0.00003120  0.067814    0.00001864  0.062973    0.00001434  0.233079    0.00004443
180         1770265i.fits  57013.4258  2014  12  22    0.064275   2.980  0.030365    0.00002586  0.032074    0.00002503  0.028523    0.00001401  0.025485    0.00001234  0.014504    0.00000566  0.031573    0.00000982  0.118051    0.00003602  0.063057    0.00001683  0.057770    0.00001265  0.186475    0.00003459
181         1770266i.fits  57013.4375  2014  12  22    0.065455   2.960  0.031921    0.00002728  0.033260    0.00002624  0.025106    0.00001253  0.024099    0.00001127  0.017037    0.00000670  0.030550    0.00001114  0.099004    0.00002968  0.060594    0.00001626  0.101012    0.00002341  0.083951    0.00001510
182         1770267i.fits  57013.4492  2014  12  22    0.067457   2.927  0.030461    0.00002736  0.029809    0.00002399  0.029875    0.00001552  0.023318    0.00001163  0.012601    0.00000507  0.028537    0.00001104  0.094701    0.00003132  0.066063    0.00001842  0.055420    0.00001255  0.112243    0.00002092
183         1771277i.fits  57020.3906  2014  12  29    0.106173   2.435  0.041409    0.00005975  0.037431    0.00004930  0.053637    0.00004358  0.027558    0.00002084  0.018367    0.00001141  0.044484    0.00002172  0.125371    0.00005850  0.080656    0.00003271  0.080180    0.00002455  0.345311    0.00008901
184         1771278i.fits  57020.4023  2014  12  29    0.109533   2.401  0.042738    0.00006348  0.037347    0.00005000  0.052636    0.00004304  0.028275    0.00002172  0.019097    0.00001200  0.045981    0.00002273  0.132302    0.00006353  0.081598    0.00003411  0.097631    0.00003196  0.348338    0.00009069
185         1771279i.fits  57020.4141  2014  12  29    0.104340   2.454  0.040685    0.00005635  0.038365    0.00004830  0.052084    0.00004022  0.030665    0.00002243  0.020950    0.00001235  0.048538    0.00002327  0.126254    0.00005966  0.079981    0.00003122  0.077862    0.00002290  0.280028    0.00006718
186         1771280i.fits  57020.4258  2014  12  29    0.104255   2.455  0.039102    0.00005456  0.039914    0.00005165  0.056599    0.00004519  0.029259    0.00002136  0.021306    0.00001258  0.041994    0.00001920  0.109323    0.00005195  0.076740    0.00002990  0.068669    0.00002032  0.306347    0.00007301
187         1771710i.fits  57021.3320  2014  12  30    0.089704   2.618  0.040114    0.00004962  0.037237    0.00004127  0.046492    0.00003112  0.029317    0.00001875  0.021771    0.00001129  0.043432    0.00001781  0.108584    0.00004311  0.078083    0.00002712  0.074949    0.00001948  0.288169    0.00006118
188         1771711i.fits  57021.3438  2014  12  30    0.083946   2.690  0.039652    0.00004580  0.036326    0.00003827  0.048362    0.00003093  0.028458    0.00001683  0.015786    0.00000759  0.041600    0.00001511  0.120078    0.00004571  0.078526    0.00002465  0.095906    0.00002455  0.313449    0.00006309
189         1771712i.fits  57021.3555  2014  12  30    0.087673   2.643  0.038534    0.00004565  0.038427    0.00004179  0.048922    0.00003245  0.032228    0.00002001  0.018828    0.00000942  0.040932    0.00001712  0.118897    0.00004828  0.080208    0.00002636  0.095248    0.00002513  0.300503    0.00006464
190         1771713i.fits  57021.3711  2014  12  30    0.090144   2.613  0.037648    0.00004572  0.036452    0.00004032  0.045741    0.00003078  0.028231    0.00001793  0.020262    0.00001063  0.044949    0.00001912  0.126895    0.00005098  0.078703    0.00002722  0.112144    0.00003128  0.319186    0.00007167
191         1772369i.fits  57029.3789  2015   1   7    0.209078   1.699  0.043904    0.00012337  0.043043    0.00010986  0.060311    0.00009571  0.031792    0.00004604  0.021047    0.00002519  0.054661    0.00004936  0.135774    0.00012099  0.085140    0.00006356  0.095593    0.00005371  0.374997    0.00016270
